EN  RU
Absorb	Поглотить
Activate	Активировать
Add finds	Добавить находки
Add to	Добавить в
Add-House	Добавить-Дом
Add-bottom	Добавить-внизу
Add-mulch	Добавить-мульчу
Adjust	Настроить
Admire	Восхититься
Age	Возраст
Al Kharid	Аль Карид
Align	Выровнять
Ammo	Боезапас
Ancient	Древний
Ancient spellbook	Древняя книга заклинаний
Ancients	Древние
Animate	Оживить
Arceuus	Арцеус
Arceuus spellbook	 Арцеус книга заклинаний
Ardougne	Ардогн
Armour	Доспехи
Ascend	Подняться
Assemble	Собрать
Assignment	Задание
Attach	Прикрепить
Attach-rope	Прикрепить-верёвку
Attack	Атаковать
Attract	Привлечь
Awaken	Пробудить
Background-music	Фоновая-музыка
Bait	Приманка
Balance	Уравнять
Balance-across	Пересечь-балансом
Banish	Изгнать
Bank	Банк
Barbarian Outpost	Деревня варваров
Bars	Прутья
Begin	Начать
Bend	Наклониться
Big Net	Большая сеть
Big-push	Большой-толчок
Big-search	Крупный-поиск
Bind	Связать
Blackout	Отключить свет
Block	Заблокировать
Board	Взойти на борт
Bottom-floor	Нижний этаж
Bow	Поклониться
Breaches	Прорывы
Break	Разломать
Brimhaven	Бримхейвен
Build	Строить
Build mode	Режим строительства
Build on	Строить на
Build-barricade	Поставить-баррикаду
Build-in	Встроить
Burn	Сжечь
Burn-down	Сжечь-до-тла
Burn`	Сжечь`
Burst	Взрыв
Burthorpe	Барторп
Bury	Зарыть
Buy	Купить
Buy-crystals	Купить-кристаллы
Buy-food	Купить-еду
Buy-items	Купить-предметы
Buy-pass	Купить-пропуск
Buy-plank	Купить-доску
Buy-sphere	Купить-сферу
Cage	Поместить в клетку
Call	Позвать
Call-Over	Позвать-Сюда
Camelot	Камелот
Cancel	Отменить
Canyon-count (east)	Проверить-каньон (восток)
Canyon-count (west)	Проверить-каньон (запад)
Capture	Захватить
Carve	Вырезать
Cast	Наложить
Castle Wars	Войны Замков
Catch	Поймать
Cellar	Подвал
Challenge	Вызвать
Challenge-mode	Режим-испытания
Champions' Guild	Гильдия чемпионов
Change	Изменить
Change-clothes	Переодеть
Change-colour	Изменить-цвет
Change-style	Изменить-стиль
Channel	Канал
Channel (Asgarnia)	Канал (Асгарния)
Channel (Fremennik)	Канал (Фременник)
Channel (Great Kourend)	Канал (Большой Коуренд)
Channel (Kandarin)	Канал (Кандарин)
Channel (Karamja)	Канал (Карамджа)
Channel (Kharidian Desert)	Канал (Харидийская пустыня)
Channel (Misthalin)	Канал (Мистхалин)
Channel (Morytania)	Канал (Моритания)
Channel (Tirannwn)	Канал (Тираннвн)
Channel (Wilderness)	Канал (Дикая местность)
Charge	Напасть
Charge-at	Напасть-на
Charm Snake	Очаровать Zмею
Charter	Чартер
Charter-to Aldarin	Чартер-до Алдарина
Charter-to Brimhaven	Чартер-до Бримхейвена
Charter-to Catherby	Чартер-до Катерби
Charter-to Civitas illa Fortis	Чартер-до Civitas illa Fortis
Charter-to Corsair Cove	Чартер-до Бухты Корсаров
Charter-to Land's End	Чартер-до Края Земли
Charter-to Mos Le'Harmless	Чартер-до Мос-Ле-Хармлесс
Charter-to Musa Point	Чартер-до Мыса Муса
Charter-to Port Khazard	Чартер-до Порта Кхазард
Charter-to Port Phasmatys	Чартер-до Порта Фасматис
Charter-to Port Piscarilius	Чартер-до Порта Пискарилиус
Charter-to Port Sarim	Чартер-до Порта Сарим
Charter-to Port Tyras	Чартер-до Порта Тирас
Charter-to Prifddinas	Чартер-до Приффдинас
Charter-to Shipyard	Чартер-до Судоверфи
Charter-to Sunset Coast	Чартер-до Закатного берега
Charter-to Tempestus	Чартер-до Темпестуса
Chase	Преследовать
Check	Проверить
Check Kudos	Проверить Кудос
Check Scores	Проверить Очки
Check charges	Проверить заряд
Check count	Проверить количество
Check for Snakes	Проверить наличие Змей
Check rank	Проверить ранг
Check steps	Проверить шаги
Check-Approval	Проверить-Одобрение
Check-Count	Проверить-Количество
Check-Faith	Проверить-Веру
Check-Fee	Проверить-Плату
Check-ammo	Проверить-боезапас
Check-costume	Проверить-костюм
Check-gates	Проверить-ворота
Check-health	Проверить-здоровье
Check-on	Проверить
Check-permissions	Проверить-права
Check-pets	Проверить-питомцев
Check-statistics (Global)	Проверить статистику (Global)
Check-statistics (Personal)	Проверить статистику (Personal)
Check-times	Проверить время
Chew	Жевать
Chill	Остыть
Chip	Отломать
Choose	Выбрать
Chop	Рубить
Chop down	Срубить
Chop-down	Срубить
Churn	Взбивать
Claim	Заявить
Claim Pet Rock	Получить Питомца Камень
Claim Sand	Получить Песок
Claim-Shield	Получить-Шит
Claim-Tokens	Получить-Жетоны
Claim-arrows	Получить-стрелы
Claim-cape	Получить-плащ
Claim-log-rewards	Получить-награды-за-бревна
Claim-runes	Получить-руны
Claim-slime	Получить-слизь
Claim-staves	Получить-посохи
Claim-trophies	Получить-трофеи
Clamber	Взобраться
Clean	Очистить
Cleanse	Очищать
Clear	Очистить
Climb	Залезть
Climb Down	Спуститься
Climb Up	Подняться
Climb down	Спуститься
Climb over	Перелезть
Climb through	Проползти
Climb up	Подняться
Climb-across	Перелезть через
Climb-down	Спускаться
Climb-down (normal)	Спуск (обычно)
Climb-down (private)	Спуск (частный)
Climb-into	Залезть-внутрь
Climb-off	Слезть
Climb-on	Залезть-на
Climb-over	Перелезть
Climb-rope	Влезть-по-верёвке
Climb-through	Проползти-через
Climb-through (normal)	Пролаз (обычно)
Climb-through (private)	Пролаз (частный)
Climb-to	Подняться-на
Climb-under	Проползти-под
Climb-up	Залезть-вверх
Climp-up	Подняться
Clip	Отрезать
Close	Закрыть
Coffer	Сейф
Collapse	Обрушить
Collect	Собрать
Collect-from	Забрать-у
Collect-items	Забрать-предметы
Collections overview	Обзор коллекций
Colour	Цвет
Commission	Комиссия
Commune	Общаться
Complete	Завершить
Configuration	Конфигурация
Configure	Настроить
Confront	Противостоять
Conjure	Заклинать
Construct	Конструировать
Continue	Продолжить
Continue-trek	Продолжить-поход
Contract	Контракт
Control	Управлять
Convert	Преобразовать
Convert-shards	Преобразовать-осколки
Cook	Готовить
Cook-at	Готовить-в
Cooking Guild	Кулинарная гильдия
Cool-preform	Охладить-заготовку
Corporeal Beast	Телесное Чудовище
Count	Посчитать
Count-plunder	Подсчитать-трофеи
Crack	Вскрыть
Craft	Создать
Craft-goods	Создавать-товары
Craft-rune	Вырабатывать-руну
Crafting Guild	Гильдия Ремесленников
Crawl	Ползти
Crawl through	Проползти-через
Crawl-down	Сползти-вниз
Crawl-through	Проползти
Crawl-under	Проползти-под
Crazy	Безумный
Cross	Пересечь
Cross-bridge	Перейти-мост
Cross-to	Перейти-в
Cure	Исцелить
Cut	Отрезать
Cut down	Срубить
Cut-Down	Отрезать
Cut-branch	Отрезать-ветку
Cut-foot	Отрезать-ступню
Cut-vine	Отрезать-лозу
Cut-wood	Рубить-древесину
Dance	Танцевать
Deactivate	Деактивировать
Deboard	Сойти с корабля
Debug	Отладить
Decant	Перелить
Decapitate	Обезглавить
Demolish	Снести
Deposit	Внести
Deposit-All    Внести-Все
Deposit-X      Внести-X
Deposit buckets	Положить вёдра
Deposit-box	Депозитная-коробка
Deposit-items	Положить-предметы
Deposit-pickaxe	Сдать-кирку
Deposit-runes	Вложить-руны
Descend	Спуститься
Destroy	Уничтожить
Detach	Отсоединить
Detatch	Отсоединить
Devices	Устройства
Dig	Копать
Dig-below	Копать-ниже
Dig-up	Выкопать
Digsite	Раскопки
Direct-portal	Направить-портал
Directions	Направления
Disable	Отключить
Disarm	Обезвредить
Discard	Выбросить
Disembark	Высадиться
Dismantle	Разобрать
Dismantle kit	Разобрать комплект
Dismiss	Отозвать
Dispel	Рассейть
Display	Показать
Dissolve	Растворить
Distract	Отвлечь
Disturb	Побеспокоить
Dive	Нырнуть
Dive in	Нырнуть внутрь
Divine	Божественный
Dondakan's Rock	Скала Дондакан
Douse	Залить
Drain	Осушить
Draynor Village	Деревня Дрейнор
Dream	Мечтать
Drink	Пить
Drink-from	Пить-из
Drop	Выбросить
Dump	Сбросить
Dunk	Окунуть
Dunk-preform	Окунать-заготовку
Dyes	Краски
Easter dance	Пасхальный танец
Eat	Съесть
Edgeville	Эджвилл
Emir's Arena	Арена Эмира
Emote	Эмоция
Empty	Опустошить
Empty Bowl	Опорожнить чашу
Empty Dish	Опорожнить тарелку
Empty-Out	Опорожнить
Enchant	Зачаровать
Enter	Войти
